artist,title_en,title_cn,title_jp,title_kr,place_en,place_cn,place_jp,place_kr
ESTi,Dear. Chie,,,,Aoichi,奥亦齐,アオイチ,아오이치
DINY,Dear. HyeJin,,,,Cash Shop,精品屋,LPショップ,캐쉬샵
ESTi,momochrome ~ SIRO KURO,,,,Black Moon,黑月城,黒月城,흑월성
DINY,viridianscape (arranged ver),,,,Forest Area,森林区,ヴァルハラ,산림지대
ESTi,Save The Saboten Princess,,,,Desert,沙漠地带,砂漠地帯,사막지대
DINY,Dark Forest,,,,Dark Forest,黑暗森林,闇の森,어둠의 숲
ESTi,Elfa,,,,Elfa,艾尔法,エルパ,엘파
DINY,Prologue Part.1,,,,Prologue,序言,プロローグ,프롤로그
DINY,Prologue Part.2,,,,Prologue,序言,プロローグ（戦闘）,프롤로그
ESTi,MAY be happy forever,,,,Main theme,主旋律,メインテーマ（piano.ver）,메인테마
DINY,Magical July,魔法的七月,魔法の7月,마법의 7월,Orca Beach,奥尔卡 海边,オルカ海辺,오르카 해변
DINY,Chicken Mayo on Thursday,周四的鸡肉梅奥,木曜日のチキンマヨ,목요일엔 치킨마요를,Tree up,爬呀爬 大树,天空豆の樹塔,위로위로 나무
DINY,I Love PSG!!!,,,,Dotnuri Stage 1,超级玛丽,ドリスゲーム1-1,도트누리 스테이지 1
DINY,with silver wings,银色的翅膀,銀の翼をつけて,은빛날개를 달고,Beth in ruins,十六的月,十六夜の間,폐허가 된 베스
be,Wind from the Middle East,,,,Ctuga ruins,克杜卡遗址,クトガ遺跡,크투가 유적지
DINY,Monochromatic Life,,,,Ctuga ruins underground,克杜卡遗址地下,クトガ遺跡地下,크투가 유적 지하
be,Peaceful Peaceful,,,,Beth,贝斯,ベス,베스
DINY,Welcome to the jungle,,,,Jungle,丛林地带,ジャングル地帯,정글지대
DINY,Dear. HyeJin Again,,,,Beauty shop,美容店,ビューティーショップ,뷰티샵
DINY,Theme of Chunsik,,,,Bongchun ceremony theme,奉春风格的主题曲,ボン様テーマ,봉춘식 테마
DINY,Does the boy dream of a star,这个男孩是梦想成为明星吗,少年は星を夢見るか,소년은 별을 꿈꾸는가,Springtime land,春植岛,ボン様ランド,춘식 랜드
DINY,Monster in the Mirror,,,,Ghost pirate ship,幽灵海盗船,幽霊海賊船,유령 해적선
DINY,Owl's castle,猫头鹰的城堡,隼の城,올빼미의 성,Owl's castle,猫头鹰之城,隼の城,올빼미의 성
DINY,Lonely Sailing,,,,Bath Passenger Ship,航行中的轮船,シャチ号,베스 여객선
iNID,,少女心,少女心,少女心(소녀심),Old tree forest,古木丛林,枯れ木の森,고목나무 숲
iNID,Western GunRun,,,,Bongole train,火车站,ボンゴレ列車,봉골레 열차
iNID,Revi Arens,,,,Levi Arence Theme,雷比·亚伦斯的主题曲,レビのテーマ（王宮警護室）,레비 아렌스 테마
iNID,Crystal Cave,,,,Crystal Coal mine,水晶矿场,水晶炭鉱,수정탄광
Jo,Saurus Field,,,,Saurus Field,石器时代,ディノ紀の森,사우르스 필드
iNID,Liliput,,,,Liliput City,奥列佛王国,リリパット都市,릴리펏 도시
iNID,Liliput Field,,,,Lilypet field,奥列佛领域,リリパット海,릴리펏 필드
Jo,Behemoth,,,,Behemoth's stomach,贝希摩斯的肚子,ベヒーモスの腹の中,베히모스의 뱃속
iNID,Never Die,,,,Egg castle,哎呦哎呦城,エッグエッグ城,에그에그 성
Jo,Cookie Garden,,,,Cookie Garden,蛋糕花园,クッキーガーデン,쿠키 가든
Jo,Gypsy's carriage Jo.,,,,Stoneton Village,原始时代旅行者休憩地,ストーントンの村,스톤톤 마을
iNID,Na Moowen,,,,Me muwen theme,莫文的主题曲,ムーウェンのテーマ,나 무웬 테마
iNID,Blue Emotion,,,,Instance dungeon b,极地迷宫,厳冬,인스턴스 던전 b
NieN,Bird Against The Storm,,,,Instance dungeon a,蛇龙巢穴,赤龍の巣,인스턴스 던전 a
DINY,Pyramid Ruins,,,,Pyramid ruins,金字塔遗址,ピラミッド遺跡,피라미드 유적
DINY,Poe Mansion,,,,Poe Mansion,阴森住宅,ボウ邸宅,포우저택
DINY,Townportal,,,,Town Portal,城镇门户,タウンポータル,타운포탈
iNID,Gattia Su,,,,Gattia Su theme,卡蒂亚·舒的主题曲,カティア・スーのテーマ,가티아 수 테마
iNID,Ban Gioo,,,,Ban Gioo theme,潘基宇的主题曲,バン・ギウのテーマ,반 기우 테마
iNID,Black Moon Princess,,,,Black Moon Princess Theme,黑月公主的主题曲,黒月姫のテーマ,흑월공주 테마
iNID,Kazno Nas,,,,Kazno Nas Theme,卡兹诺的主题曲,カズノのテーマ,카즈노 나스 테마
iNID,Alone in the City,,,,Cold heart,早已冷却的心脏,凍てつく心臓,식어버린 심장
ESTi,My Heart is 123 BPM,,,,Shangri-La,香格里拉,シャングリラ,샹그리라
iNID,Vivo Reprise,,,,Hot spring family bath,家庭池温泉,温泉,온천 가족탕
silhouetti,Tempest,,,,Former center,转职中心,転職センター,전직 센터
iNID,Dance Away,,,,Avio Club,舞厅,日本未実装？（ダンスホール）,아비오 클럽
iNID,Don't Freeze!,,,,Abyssal Ruins,深渊遗址,深淵の遺跡,심연의 유적
ESTi,Dolphin's Dream,海豚的梦想,イルカの夢,돌고래의 꿈,Atlantis,亚特兰蒂斯,アトランティス,아틀란티스
iNID,MAY be happy (winter ver.),,,,Main theme,主旋律,メインテーマ（winter.ver）,메인테마
iNID,Chimaera Lab,,,,Chimeirah Institute,奇迈罗研究所,キメラ研究所,키마이라 연구소
iNID,Consulate of Chunsik Bong,,,,Chunsik Land Yeongju Hall,春植岛领主馆,ボン様ランド領主館,춘식랜드 영주관
iNID,Aquarium,,,,Aquarium,水族馆,アクアリウム,아쿠아리움
iNID,Bifrost,,,,Beefrost,比弗罗斯特,ビフレスト,비프로스트
M2U,Happy Day Walk Around,,,,Big apple,比格爱特,ビッグアップル,빅 애플
iNID,Choen Pam,,,,Choen Pam Theme,乔安潘的主题曲,ジョアン・ファームのテーマ,초엔 팜 테마
ESTi,Invisible Utopia,看不见的乌托邦,目には見えない Utopia,보이지 않는 utopia,Midgard,尘世城,ミッドガルド,미드가르드
DINY,,Toad island #1 喜,Toad island #1 喜,Toad island #1 喜,Duterbi top goal,蛤蟆丘陵,ガマガエル山麓,두터비 윗골
DINY,,Toad island #2 怒,Toad island #2 怒,Toad island #2 怒,Duterbi mountain,蛤蟆山丘,ガマガエル山,두터비 산
DINY,,Toad island #3 哀,Toad island #3 哀,Toad island #3 哀,Duterbi cave,蛤蟆洞穴,ガマガエル洞窟,두터비 동굴
DINY,,Toad island #4 樂,Toad Island #4 楽,Toad island #4 樂,Duterbi forest,蛤蟆森林,ガマガエルの森,두터비 숲
DINY,,Toad island #5 愛,Toad island #5 愛,Toad island #5 愛,Duterbi beach,蛤蟆海边,ガマガエル村,두터비 해변
DINY,Steel City,,,,Steel City,钢铁都市,鋼の都市,강철도시
DINY,A Winter Night's Dream,,,,Christmas event,圣诞节活动,クリスマスイベントMAP,크리스마스 이벤트
Electronic Boutique,Showdown,,,,Entrance to Pasoe Valley,机甲山脉入口,くず鉄の谷,파쇠계곡 입구
DINY,Chaos! Break! Manga!,,,,Pasoe Valley Exit,机甲山脉出口,くず鉄の谷出口,파쇠계곡 출구
DINY,Factory 8186,,,,Factory,机械工作室,ファクトリー,팩토리
DINY,Fairy Tale,,,,Number of fairies,精灵之树,妖精樹,요정수
DINY,Flower Field,,,,Valley of flowers,花之山谷,花の渓谷,꽃의 계곡
DINY,Baker Street,,,,Baker Street,贝克街,ベーカー通り,베이커 거리
DINY,White Chapel,,,,White Chapel,白色教堂,ホワイトチャペル,화이트채플
DINY,,天門,天門,天門,Astronomy,天门,天空の仙境,천문
silhouetti,Like a Screw Bar,,,,Geumran luck system,金兰云梯,TA天空の仙境,금란운계
DINY,Super Monster Adventure,,,,Instance Dungeon Boss,Boss战,IDボス,인스턴스 던전 보스
DINY,Siam,,,,Siam theme,Siam的主题曲,サイアムのテーマ,사이암 테마
DINY,Genepe,,,,Genepe,Genepe的主题曲,ケネぺのテーマ,게네페
DINY,Genepe Orgel,,,,Genepe,Genepe的主题曲,ケネペのテーマ（orge.ver）,게네페
DINY,Big Brother,,,,Helsdoor,地狱之门,Hell`s Door（ヘル戦）,헬즈도어
DINY,Always be myself,,,,Hydroponic Farm,太空农场,巨大プラント,수경농장
DINY,Hanger,,,,hanger,机库,格納庫,행거
DINY,Di Labo,,,,D-Labo,D-拉伯,D区画,디-라보
DINY,Colosseum,,,,Colosseum,罗马竞技场,コロシアム,콜로세움
DINY,Xenadia,,,,Genadia Central Area,吉纳蒂亚 中央地带,中央地区,제나디아 중앙구역
Electronic Boutique,Beyond the Forest,,,,Xenadia Ground Area,吉纳蒂亚 地上水下庭院,地上庭園,제나디아 지상구역
DINY,Lost Temple,,,,Xenadia Temple Area,吉纳蒂亚 神殿地带,神殿区域,제나디아 신전구역
DINY,Hanging Garden,,,,Xenadia Ruin Area,吉纳蒂亚 废墟地带,廃墟地域,제나디아 폐허지역
DINY,Change Class,,,,Xenadia Sanctuary,吉纳蒂亚 避难所,転職の聖所,제나디아 성소
DINY,OX QUIZ,,,,Dotnuri Lobby,超级玛丽 大厅,ドリスゲームロビー,도트누리 로비
DINY,Magical July,魔法的七月,魔法の7月,마법의 7월,Dot Nuri lv.2,超级玛丽 Lv.2,ドリスゲーム1-2,도트누리 lv.2
DINY,Welcome to the Jungle,,,,Dot Nuri lv.3,超级玛丽 Lv.3,ドリスゲーム1-3,도트누리 lv.3
DINY,Dear. HyeJin,,,,Dot Nuri lv.4,超级玛丽 Lv.4,ドリスゲーム1-4,도트누리 lv.4
DINY,Chicken Mayo on Thursday,周四的鸡肉梅奥,木曜日のチキンマヨ,목요일엔 치킨마요를,Dot Nuri lv.5,超级玛丽 Lv.5,ドリスゲーム1-5,도트누리 lv.5
DINY,Where am I,,,,Dot Nuri lv.6,超级玛丽 Lv.6,ドリスゲーム1-6,도트누리 lv.6
DINY,Coal mine,,,,Dot Nuri lv.7,超级玛丽 Lv.7,ドリスゲーム1-7,도트누리 lv.7
astroman,Ancient Ruins,,,,Octopus temple,小章鱼神殿,イイダコ神殿,쭈꾸미 신전
astroman,The Story of the Bard,吟游诗人的故事,吟遊詩人の話,음유시인이야기,Guild Alliance,联合工会,ギルド連合,길드연합
astroman,El Anor's Jungle,艾尔平原的丛林,エルアノールのジャングル,엘아노르의 정글,El Anor Plain,艾尔平原南部,エルアノール平原,엘아노르 평원
astroman,Imperial Army Camp,帝国军营营地,帝国軍宿営地,제국군 숙영지,East of the Plains of El Anor,艾尔平原东部,エルアノール平原東部,엘아노르 평원 동부
astroman,Mystic Forest,神秘的森林,神秘の森,신비의 숲,Mysterious forest,神秘森林,神秘の森,신비한 숲
astroman,Imperial Counterattack,帝国军反击,帝国軍の逆襲,제국군의 역습,Unfair crash site,飞空艇坠落地带,飛空艇墜落地帯,비공정 추락지
astroman,Celestial Island,天岛,天空の島,천공의 섬,El Anor mountain range,艾尔山岳地带,エルアノール山岳地帯,엘아노르 산악지대
astroman,Forgotten Plains,被遗忘的平原,忘れられた平原,잊혀진 평원,Forgotten Plains,被遗忘的平原,忘れられた平原,잊혀진 평원
astroman,Ruin,,,,Forgotten Flower Garden,被遗忘的花园,忘れられた花園（後半）,잊혀진 화원
astroman,Hot Blood,,,,Degos/Ifrit,德戈斯·伊弗里特战役,デゴス・イフリート戦,데고스/이프리트
astroman,Belpa Library,贝尔法图书馆,ベルパ図書館,벨파 도서관,Belpa Library,贝尔法图书馆,ベルパ図書館,벨파 도서관
astroman,,虎舍,虎社,호랑사,Tiger,老虎寺,狐娘寺,호랑사
astroman,Asian Rhapsody,,,,Hosun Ray-ray,老虎寺 老虎阁,狐娘寺の虎乱閣（レイレイ戦）,호선레이레이
astroman,Rainbow,,,,Rainbow fishing ground,彩虹钓鱼场,虹の釣り堀,무지개 낚시터
astroman,Astro Rain,,,,Entrance to Stardust Plains/Silver Street Residence,星之平原,星くずの平原,별가루 평원/은빛가지저택 입구
astroman,Silver Street Mansion,银街府邸,シルバーブランチ邸宅,은빛가지저택,Silver Street Mansion,银色住宅,シルバーブランチ邸宅,은빛가지저택
astroman,Cradle of Stars,星星摇篮,星のゆりかご,별의 요람,Cradle of stars,星星摇篮,星のゆりかご,별의 요람
astroman,flame,,,,Luseria/Theseus,星星摇篮 心脏地带,ルセリア・テセウス戦,루세리아/테세우스
astroman,Elias (renewal),Elias (新),Elias (リニューアル),Elias (리뉴얼),Elias,艾丽娅斯,エリアス（新）,엘리아스
astroman,Epiclog,,,,Main theme,主旋律,メインテーマ（新）,메인테마
astroman,be echoed,,,,Wailing shore,痛苦海岸,嘆きの海岸,통곡의 해안
astroman,Tower of GOD,,,,Tower of collapse,崩坏之塔,崩壊の塔,붕괴의 탑
astroman,Fairy Song,精灵之歌,妖精の歌,요정의 노래,Tower of Collapse Top,崩坏之塔 塔顶,崩壊の塔頂上,붕괴의 탑 정상
astroman,Oriental Dream,,,,Creepy autumn,鬼怪村,もっとぞくぞく村,오싹고을
astroman,step one,,,,Sky Ariho,天空号,大空号,하늘아리호
astroman,be ruined,,,,Drifting city,漂流城,漂流都市,표류도시
astroman,fall in love,,,,Anise Heart Theme,冰心的主题曲,アニスのテーマ,아니스 하트 테마
astroman,db,,,,Augelmir Institute,伊米勒研究所,イミル研究所,아우르겔미르 연구소
astroman,Lost Temple,,,,Outskirts of the drifting city,漂流城外围,漂流郊外（4次転職時）,표류도시 외곽
astroman,Fantasy of LaTale,,,,Elmay,艾美之战,エイメル戦,엘메이
astroman,Dear. Orange arrange,,,,gm event,GM活动地图,イベントMAP,gm 이벤트
astroman,Noir,,,,Starry Cats,塔瑞的猫,スターリーキャッツ,스태리 캣츠
astroman,Sunshine Bar,,,,Great brawl,大战,バトルフロア（レストラン）,대난투
astroman,cat in france (renewal),cat in france (新),cat in france (リニューアル),cat in france (리뉴얼),Cash Shop,现金店,海外LPショップ,캐쉬샵
astroman,perfect man (renewal),perfect man (新),perfect man (リニューアル),perfect man (리뉴얼),Arena,格斗场,決闘BGM,격투장
astroman,memories remember u,,,,Main theme,主旋律,2014年時、韓国テーマソング,메인테마
astroman,Moon Rabbit,,,,Banaheim,华纳海姆,ヴァナへイム,바나헤임
astroman,Nightmare,,,,Flower Path/Dream Path/Moon Path,花梦月之路,朽ちた花/夢/月の遺跡,꽃의 길/꿈의 길/달의 길
NieN,End of Monster Screaming,,,,Welcome Boss Battle,欢迎老板之战,朽ちた花/夢/月の遺跡（ボス戦）,환영 보스전
astroman,Timeless,,,,Yggdrasil,伊格德拉西尔,世界樹の幻影,위그드라실
astroman,Rush off,,,,Gendia Park Lobby,吉恩蒂亚公园大厅,ジエンディアパーク,지엔디아 공원 로비
astroman,Analog Emotion,,,,Gendia Park Botanical Garden,植物园,植物園,지엔디아 공원 식물원
astroman,Savanna,,,,Gendia Park Savannah,无树平原,サバンナ,지엔디아 공원 사바나
astroman,White Forest,,,,Gendia Park White Plains,白色平原,白い平原,지엔디아 공원 하얀 평원
M2U,,落雷天,落雷天,낙뢰천,Gendia Park Adventurers' Hall,冒险家的殿堂,冒険家の殿堂,지엔디아 공원 모험가의 전당
astroman,Good Day,,,,Luminous City-Day,夜光城市 白天,ルミナスシティ（昼）,루미너스 시티-낮
astroman,Night Wish,,,,Luminous City-Night,夜光城市 夜晚,ルミナスシティ（夜）,루미너스 시티-밤
astroman,Mystery School,,,,Night school,夜校,夜の学校,밤의 학교
astroman,Daily life Dwarf,,,,Gendia Park Warehouse,仓库,倉庫,지엔디아 공원 창고
astroman,Volcano,,,,Gendia Park Volcanic Zone,火山地带,火山地帯,지엔디아 공원 화산지대
astroman,Coral Forest,,,,Coral forest,珊瑚树林,珊瑚の森,산호의 숲
DINY,illusion hole,,,,Underground cave,地下洞穴,地下洞窟,지하동굴
astroman,Drive in,,,,Time Attack,暂停,TA厳冬,타임어택
astroman,elegy,,,,Oscuras Temporary Garrison,奥斯古拉斯 临时阵营,オスキュラス臨時駐屯地,오스큐라스 임시 주둔지
astroman,Galaxy,,,,Storm Watcher Ruins,暴风监视者废墟,暴風の監視者廃墟,폭풍의 감시자 폐허
astroman,Lost in the darkness,,,,Quartz cave,石英洞窟,石英洞窟,석영동굴
astroman,Sweet Dream,,,,Jade Forest,翡翠树林,翡翠樹林,비취수림
astroman,Echoes,,,,Red Sorghum Field_Late Night,红高梁地 深渊,赤いさとうきび畑（深夜）,붉은 수수밭_심야
astroman,Mystic,,,,Solvent resistance,龙祭城,龍帝城,용제성
astroman,Night flower,,,,Wolhwawon,月华院,月華苑,월화원
astroman,KingStar,,,,Dragon Hwangjeon,龙皇殿,龍皇殿,용황전
astroman,Dragon Castle,,,,Dragon Emperor_Boss Battle,龙皇殿Boss战,龍皇殿（ボス戦）,용황전_보스전투
astroman,Abracadabra,,,,Unknown library,未知的图书馆,未知の図書館,미지의 도서관
astroman,Crossroad,,,,Hidden cave,隐藏的洞窟,隠された洞窟,숨겨진 동굴
astroman,Freestyle rush,,,,Destroyed castle (Boss battle),被摧毁的城堡Boss战,破壊された城（ボス戦）,메인테마
astroman,Hidden track,,,,Boss Room,空房,,보스룸
astroman,Mushroom Palace,蘑菇宫殿,,,Mushroom forest,蘑菇森林,キノコの森,버섯의 숲
astroman,Fragment of Memory,记忆的碎片,記憶の破片,기억의 파편,Destroyed castle,破坏城,破壊された城,파괴된 성
astroman,scent of the forest,森林的香味,森の香り,숲의 향기,Droolage,口水岭,ドルリッジ,드룰리지
astroman,Aurora forest,欧若拉森林,オーロラの森,오로라의 숲,Aurora Forest,欧若拉森林,オーロラの森,오로라의 숲
astroman,flower place,花之所,flower place,,Aurora Garden,欧若拉庭院,オーロラの庭園,오로라의 정원
dz,Great Sailing,伟大的航海,偉大な航海,위대한 항해,Rivera village,自由贸易都市 立佩拉,自由都市リベラ,리베라 마을
dz,crunch,,,,Rivera City Hall,立佩拉市政府,リベラ支庁,리베라 시청
dz,Ireland,,,아일랜드,Merrin Island,梅林岛,メリン島,메린섬
dz,go-ahead,,,,Hearthstone Lab,魔石实验室,魔石実験室,마석 실험실
dz,last key,,,,Boss room,半神,魔石実験室（ボス戦）,보스방
dz,shining star,,,,10th anniversary event,十周年庆典活动,10周年MAP,10주년 이벤트
dz,Frozen Memories,冻结的记忆,凍りついた記憶,얼어붙은 기억,Devil's mountain,恶魔之山,悪魔の山,악마의 산
dz,evil greed,,,,Devil's Canyon,恶魔的峡谷,悪魔の峡谷,악마의 협곡
dz,magical violet,,,,Hall of mystery,神秘的殿堂,神秘の殿堂,신비의 전당
dz,choco garden,,,,Choco Garden,巧克力花园,チョコガーデン,초코가든
dz,blossom of snow,,,,Temporary garrison,收复军临时营地,奪還臨時駐屯地,탈환군 임시 주둔지
dz,winter storm,,,,Ceres' Temple Road,赛蕾斯的神殿路口,セレスの神殿道,세레스의 신전 길목
dz,i·re·ne,,,,Inside the Temple of Ceres,赛蕾斯的神殿内部,セレスの神殿内部,세레스의 신전 내부
dz,war goddess,,,,Holy synagogue,神圣教堂,聖なる会堂,성스러운 회당
dz,Ackee city,,,,Archicity,亚奇城,アーキシティ,아키시티
dz,the tree of life,,,,Twisted world tree,扭曲的世界树,捩れた世界樹,뒤틀린 세계수
dz,Second Gear,,,,Boss battle,半神,聖なる会堂（ボス戦）,보스전
dz,Hammer of dwarf,,,,Dwarf Unfair,小矮人飞空艇,ドワーフ飛空艇,드워프 비공정
dz,Ancient capital,,,,Jude Kingdom Capital,犹忒王国首都,ジュード王国の東部国境地帯,쥬드 왕국 수도
dz,Berserk,,,,Underground altar of the sun god,太阳神的地下祭坛,太陽神の地下祭壇,태양신의 지하 제단
dz,Sol palace,,,,Palace of the sun,太阳宫殿,太陽の宮殿,태양의 궁전
dz,Solar village,,,,Border,犹忒王国东部国境地带,ジュード王国の首都,국경지대
dz,Deathtiny,,,,Boss battle,阿格尼,太陽の宮殿（ボス戦）,보스전
dz,Evening sun,,,,Forest at sunset,日落森林,夕暮れの森,석양의 숲
dz,Treasure hunter,,,,Treasure Cave,黄金洞穴,トレジャーケイブ,트레져 케이브
dz,summer watch,,,,Treasure Beach,黄金海岸,トレジャービーチ,트레져 비치
dz,Tower of lumen,,,,Luman,鲁曼,ルーメン,루맨
dz,Jewel forest,,,,Jewel tree forest,宝石树森林,宝石の木の森,보석나무 숲
dz,waterfall forest,,,,Waterfall Tree Forest,瀑布树森林,滝の木の森,폭포나무숲
dz,Crystal of gray,,,,White call,白煤峡谷,ホワイトコール,화이트콜
dz,Heavy heart,,,,Boss Room,阿格尼,宝石の木の森（ボス戦）,보스룸
dz,Chocolate kingdom,,,,Ice cream garden,冰淇淋花园,アイスクリーム庭園,아이스크림 정원
dz,Dolls house,,,,Doll's street,人偶的街道,人形の町,인형의 거리
dz,Circus,,,,Chunsik Land Memorial Hall,春植岛纪念馆,ボン様ランド記念館,춘식랜드 기념관
dz,Silhouette,,,,Book of shadows,影之书,影の本,그림자의 책
dz,,一步,一歩,한걸음,Luman Union Headquarters,鲁曼联总部,ルーメン連合本部,루맨 연합 본부
dz,Dragon Fear,,,,Boss Room,暗影猎手,誘いの毒霧沼地（ボス戦）,보스룸
dz,Poison,,,,Illusion Poisonmist Swamp,毒雾沼泽,誘いの毒霧沼地,환영의 독안개 늪지
dz,the ocean,,,,Event map,活动地图,イベントMAP,이벤트 맵
dz,Thorn Winter,刺冬,,가시겨울,Water lily forest,修炼森林,修練の森,수련의 숲
dz,Float Island,,,,Floating island,浮岛,浮遊島,부유섬
dz,Shining strom,,,,Boss Room,暗影猎手,浮遊島（ボス戦）,보스룸
dz,Mermaid's Dream,美人鱼的梦想,人魚の夢,인어의꿈,Coral City,珊瑚城,コーラルシティ,코랄시티
dz,Coral's Song,珊瑚之歌,珊瑚の歌,산호의 노래,Coral song,珊瑚之歌,珊瑚の歌う海,산호의 노래
dz,ocean blue,,,,Twinkie,Twinkie,トゥインクルケイブ,트윙키브
dz,Memories,,,,Velos of Memories,记忆中的贝罗斯,記憶の中のベロス,추억의 벨로스
dz,Destroy,,,,Burning city,燃烧的城市,燃える都市,불타는 도시
dz,Frozen,,,,Frozen world,冻结的世界,凍てつく世界,얼어붙은 세계
dz,Chaotic Signal,,,,Chaos canyon,混沌峡谷,混沌の峡谷,혼돈의 협곡
dz,Howling,,,,Boss Room,冻结的世界Boss战,凍てつく世界（ボス戦）,보스룸
Reynah,Elias (Piano.ver),,,,Elias,艾丽娅斯,エリアス,엘리아스
Reynah,Hot Blood (Piano.ver),,,,Boss battle,德戈斯·伊弗里特战役,デゴス・イフリート戦,보스전
Reynah,Astro rain (Piano.ver),,,,Stardust Plain,星之平原,星くずの平原,별가루 평원
,City of gods,众神之城,,신들의 도시,Amaloon Desert,戈壁沙漠,,아말룬사막
,the Castle of sun,太阳城堡,,,Castle of Ra,拉的城堡,,라의 성곽
,Golden Garden,金色花园,,황금정원,Hall of rest,安息大厅,,안식의 홀
,Theomachy,异常,,,Boss battle,Boss战,,보스전
,Tartarus,塔塔鲁斯,,,Tartarus,塔耳塔洛斯,,타르타로스
,the hell,地狱,,,Boss battle,Boss战,,보스전
,underground site,地下场所,,,Underground construction site,地下施工现场,,지하공사장
,Surado,苏拉多,,수라도,Hell's Room,地狱密室,,나락의방
,hands up!,,,,event,活动地图,,이벤트
,memorial hall,,,,Superin Memorial Hall,超人纪念馆,,초인기념관
,lost woodland,,,,Monster Tree Mountain,怪物树山,,괴물나무산
,night woodland,,,,Monster Tree Mountain (Night),怪物树山-夜,,괴물나무산(밤)
,Rest,,,,Warrior's shelter,战士们的休息地,,전사들의 쉼터
,metallic heart,,,,Boss battle,Boss战,,보스전
,Tree of goddess,,,,God's Tree Rapier,神圣的树青石,,신의 나무 라피어
,Adrica's song,阿德里安娜的歌,,아드리카의 노래,Adrica,阿德里安娜,,아드리카
,Valley of dragon,,,,Dragon valley,龙谷,,용의 계곡
,fairy magic,,,,Cali,卡莉,,칼리
,Shield,,,,Boss battle,Boss战,,보스전
,neon sign,,,,event,大事记,,이벤트
,Belos (Piano.ver),,,,Belos,贝罗斯,,벨로스
,Adriana's Song (Piano.ver),,,아드리카의 노래 (Piano.ver),Adrica,阿德里安娜,,아드리카
,Rest (Piano.ver),,,,Warrior's shelter,战士们的休息地,,전사들의 쉼터
,Magic Academy,,,마법학원,Gerenis hill,杰雷斯丘陵,,제레니스 언덕
,Magical space,,,,Magic Academy Training Center,魔法学院修炼馆,,마법학원 수련관
,Magic Circle hall,,,,Magic Academy Main Building,魔法学院主楼,,마법학원 본관
,blaze out,,,,Boss battle,Boss战,,보스전
,Time of the lost star,,,,Lost city,失落的城市,,잃어버린 도시
,LAB,,,,Suspicious Lab,奇怪的研究所,,수상한 연구소
,Lullaby,催眠曲,,,Ethnyl,乙酰,,에스닐
,Moros,荒原,,,Moros,莫罗斯,,모로스
,the darkness rises,,,,Magical Defense Protection,魔法防御保护,,마력방공호
,Dreamy forest,梦幻森林,,꿈 꾸는 숲,Oneiro dreaming,梦寐以求,,꿈꾸는 오네이로
,fantasy star,,,,Boss battle,Boss战,,보스전
,Cocktail,鸡尾酒,,칵테일,event,活动,,이벤트
,Dark Tower,,,,Gisque Territory,吉斯克领地,,지스크영지
,voidstar,,,,A star of vainness,虚荣之星,,허무의 별
,oblivion,,,,Lake of Oblivion,遗忘之湖,,망각의 호수
,end of storm,,,,Boss battle,Boss战,,보스전
,Pumpkin's Dream,南瓜的梦,,,event,活动,,이벤트
,Desperated land,绝望之地,,,Cradle of the ring,环的摇篮,,환의 요람
,kiss of death,死亡之吻,,,Rosengarten,罗森加滕,,로젠가르텐
